action,id,external_id,source,name,city,city_cluster,lat,lon,district,district_before,district_how,sport_ids,amenity_kinds,has_declared_sport,in_footprint,full_address,street_number,street_name,tags
update,4f1ea0ee-1b91-4d8f-9ba6-33b0eec8eb4c,246560726,directory,Vinhomes Central Park,hcm,1,10.7971964863523,106.725121939073,hcm_thanhmytay,Quận Bình Thạnh,contains,3|4,pitch,True,True,"Vinhomes Central Park, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 71108, Việt Nam",,,"leisure:[pitch] ;; sport:[tennis, badminton]"
update,6bbf34ce-2309-4252-a897-41aa07fba7de,246556710,directory,Vinhomes Central Park,hcm,1,10.7937818,106.722017428315,hcm_thanhmytay,Quận Bình Thạnh,contains,,swimming_pool,False,True,"Vinhomes Central Park, Vạn Hoa 4, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 72508, Việt Nam",,Vạn Hoa 4,height:[175] ;; leisure:[swimming_pool]
update,6af6a7c9-5579-48b5-85f4-51e05fd18393,246548853,directory,Đối diện Tòa nhà Park 3 VInhomes Central Park,hcm,1,10.7916164,106.7233192,hcm_thanhmytay,Quận Bình Thạnh,contains,2|3|4,pitch,True,True,"Đối diện Tòa nhà Park 3 VInhomes Central Park, Trần Trọng Kim, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, 71108, Việt Nam",,Trần Trọng Kim,"bin:[no] ;; bus:[yes] ;; bench:[no] ;; shelter:[no] ;; public_transport:[platform] ;; leisure:[pitch] ;; sport:[tennis, badminton, basketball]"
update,2b275af0-ca68-4224-a6ba-d074991b3911,246584975,directory,Trường Tiểu học Kim Đồng,hcm,1,10.86525275,106.658097253552,hcm_thoian,Quận 12,contains,4,pitch,True,True,"Trường Tiểu học Kim Đồng, Thới An 28, Phường Thới An, Quận 12, Thành phố Hồ Chí Minh, 71500, Việt Nam",,Thới An 28,leisure:[pitch] ;; sport:[tennis]
update,60b102fd-ec8a-4a55-9891-ab5f29de7b40,246569417,directory,,hcm,1,10.8406072,106.6587657,hcm_thongtayhoi,Quận Gò Vấp,contains,,swimming_pool,True,True,"Phường 11, Quận Gò Vấp, Thành phố Hồ Chí Minh, 71500, Việt Nam",,,leisure:[swimming_pool] ;; sport:[swimming]
update,ead1a96b-a7fe-4041-b9a7-3e4a8bf5161e,246585110,directory,,hcm,1,10.846188,106.6575721,hcm_thongtayhoi,Quận Gò Vấp,contains,4,pitch,True,True,"Hẻm 15 Đường số 4, Phường 11, Quận Gò Vấp, Thành phố Hồ Chí Minh, 71500, Việt Nam",,Hẻm 15 Đường số 4,leisure:[pitch] ;; sport:[tennis]
update,fc690693-be70-4bb2-aeb7-4540765aee23,404144283,directory,Sân Tennis Quyết Tâm,hcm,1,10.8461487,106.64626735,hcm_thongtayhoi,Quận Gò Vấp,contains,4,pitch,True,True,"Sân Tennis Quyết Tâm, Hẻm 114 Phạm Văn Chiêu, Phường 8, Quận Gò Vấp, Thành phố Hồ Chí Minh, 71500, Việt Nam",,Hẻm 114 Phạm Văn Chiêu,sport:[tennis] ;; leisure:[pitch]
update,5db453b7-aead-4520-8c15-9d77a4bb930a,246585247,directory,,hcm,1,10.8464729275602,106.748151979236,hcm_thuduc,Phường Linh Đông,contains,1,pitch,True,True,"Đường số 41, Phường Linh Đông, Thành phố Thủ Đức, 71221, Việt Nam",,Đường số 41,leisure:[pitch] ;; sport:[soccer]
update,8f5887e5-a977-4eba-ad15-7c7c1962ffc1,246658639,directory,,hcm,1,10.8325170231139,106.762175524854,hcm_thuduc,Phường Trường Thọ,contains,4,pitch,True,True,"Hẻm 417 Đường Song Hành Xa Lộ Hà Nội, Khu phố 23, Phường Trường Thọ, Thành phố Thủ Đức, 71211, Việt Nam",,Hẻm 417 Đường Song Hành Xa Lộ Hà Nội,leisure:[pitch] ;; sport:[tennis]
update,f25b3e9e-2a24-4302-befa-7e0a19f3c1f5,246662858,directory,,hcm,1,10.8266912850325,106.758747751026,hcm_thuduc,Phường Trường Thọ,contains,4,pitch,True,True,"Đường Số 1, Khu phố 25, Phường Trường Thọ, Thành phố Thủ Đức, 71211, Việt Nam",,Đường Số 1,lanes:[2] ;; oneway:[yes] ;; surface:[asphalt] ;; leisure:[pitch] ;; sport:[tennis]
update,5a69e893-2ec7-4fc1-9111-94384ce4f110,246640415,directory,Hồ Bơi,hcm,1,10.85631305,106.758572349818,hcm_thuduc,Phường Linh Chiểu,contains,,swimming_pool,False,True,"Hồ Bơi, Hẻm 1072 Đường Kha Vạn Cân, Phường Linh Chiểu, Thành phố Thủ Đức, 75350, Việt Nam",,Hẻm 1072 Đường Kha Vạn Cân,leisure:[swimming_pool]
update,8f97aafd-2da0-457d-a9ef-2a0964b446f4,246653540,directory,Hồ bơi trung tâm TDTT Thủ Đức,hcm,1,10.8525598,106.76131705757,hcm_thuduc,Phường Linh Chiểu,contains,,swimming_pool,False,True,"Hồ bơi trung tâm TDTT Thủ Đức, Đường số 11, Phường Linh Chiểu, Thành phố Thủ Đức, 71221, Việt Nam",,Đường số 11,lit:[no] ;; access:[yes] ;; location:[outdoor] ;; swimming_pool:[swimming_pool] ;; leisure:[swimming_pool]
update,4d7fa23c-f1c9-4af7-b53a-0dffaa2a46a5,246651186,directory,Hội Dòng Đức Bà Truyền Giáo,hcm,1,10.8516378,106.76171619674,hcm_thuduc,Phường Linh Chiểu,contains,4,pitch,True,True,"Hội Dòng Đức Bà Truyền Giáo, Võ Văn Ngân, Khu phố 7, Phường Linh Chiểu, Thành phố Thủ Đức, 71221, Việt Nam",,Võ Văn Ngân,landuse:[religious] ;; religion:[christian] ;; leisure:[pitch] ;; sport:[tennis]
update,31751334-dddb-4fda-a706-8d5f1a83fa87,246651854,directory,Nhà Thiếu nhi Quận Thủ Đức,hcm,1,10.8509925,106.767418884235,hcm_thuduc,Phường Linh Chiểu,contains,1,pitch|swimming_pool,True,True,"Nhà Thiếu nhi Quận Thủ Đức, 281, Võ Văn Ngân, Khu phố 1, Phường Linh Chiểu, Thành phố Thủ Đức, 71221, Việt Nam",281,Võ Văn Ngân,"leisure:[pitch, swimming_pool] ;; sport:[soccer]"
update,75c9f333-c603-4d46-8052-2e5259d1e47c,246657035,directory,Nhà thi đấu,hcm,1,10.855792,106.759081049206,hcm_thuduc,Phường Linh Chiểu,contains,,sports_centre,False,True,"Nhà thi đấu, Hẻm 56, Phường Linh Chiểu, Thành phố Thủ Đức, 71221, Việt Nam",,Hẻm 56,building:[yes] ;; building:levels:[1] ;; leisure:[sports_centre]
update,bb8ae29e-236b-4d0d-b25f-882a5e3ee11c,246651000,directory,Sân Vận Động,hcm,1,10.856552,106.7589935,hcm_thuduc,Phường Linh Chiểu,contains,1,pitch,True,True,"Sân Vận Động, Hẻm 1096, Phường Linh Chiểu, Thành phố Thủ Đức, 75350, Việt Nam",,Hẻm 1096,sport:[soccer] ;; surface:[artificial_turf] ;; leisure:[pitch]
